,ParamList_0,parHinban_0,parKurumaNo_0,parJunsei_0,KurumaInfo_0,CallHinban_0,parType_0,parHMCount_0,parHinmokuNos_0,parMakerNo_0,CallHinban_1,parMakerNos_0,parSyadaiNo_0
31,,,parKurumaNo=143744 ,,,,,parHMCount=16 ,parHinmokuNos=6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797 ,,,parMakerNos=0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120 ,parSyadaiNo=0
32,,,parKurumaNo=143744 ,,,,,parHMCount=100 ,parHinmokuNos=6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781 ,,,parMakerNos=0060/0060/0060/0060/0060/0060/0060/0060/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0120/0120 ,parSyadaiNo=0
33,,,parKurumaNo=143744 ,,,,,parHMCount=100 ,parHinmokuNos=6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789 ,,,parMakerNos=0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0060/0060/0060/0060/0060/0060/0060/0060/0060/0060 ,parSyadaiNo=0
34,,,parKurumaNo=134827 ,,,,,parHMCount=16 ,parHinmokuNos=6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797 ,,,parMakerNos=0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120/0120 ,parSyadaiNo=0
35,,,parKurumaNo=134827 ,,,,,parHMCount=100 ,parHinmokuNos=6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781 ,,,parMakerNos=0060/0060/0060/0060/0060/0060/0060/0060/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0070/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0080/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0090/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0100/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0110/0120/0120 ,parSyadaiNo=0
36,,,parKurumaNo=134827 ,,,,,parHMCount=100 ,parHinmokuNos=6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789/6790/6791/6792/6793/6794/6795/6796/6797/6780/6781/6782/6783/6784/6785/6786/6787/6788/6789 ,,,parMakerNos=0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0010/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0020/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0030/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0040/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0050/0060/0060/0060/0060/0060/0060/0060/0060/0060/0060 ,parSyadaiNo=0
37,ParamList=15997/1050// ,,,,KurumaInfo=129128/7/ｽﾊﾞﾙ/17/ﾌｫﾚｽﾀｰ 2000 DOHC/15997/1050 1058 1062/DBA-SH5/0709/0811/EJ204/2000,,,,,,,,
38,,parHinban=12947055700 ,,,,CallHinban=12947055700,,,,,,,
39,,parHinban=G9510-28040 ,,,,CallHinban=G951028040,,,,,,,
40,,parHinban=G9510-28040 ,,,,CallHinban=G951028040,,,,,,,
41,,parHinban=1A0234400 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
42,,parHinban=1A0234400 ,,,,CallHinban=1A0234400,,,,,,,
43,,parHinban=G9510-28040 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
44,,parHinban=G9510-28040 ,,,,,parType= ,,,,CallHinban=G951028040,,
45,ParamList=16294/0036// ,,,,KurumaInfo=136798/1/ﾄﾖﾀ/75/ﾌﾟﾘｳｽ 1800 ﾊｲﾌﾞﾘｯﾄ DOHC/16294/0031-0035 0036 0037-0049 0050-0054/DAA-ZVW30/1112/1511/2ZRFXE/1800,,,,,,,,
46,,,parKurumaNo=143744 ,,,,,parHMCount=12 ,parHinmokuNos=1020/1021/1022/1060/1061/1062/1100/1140/1101/1141/1102/1142 ,,,parMakerNos=3200/3200/3200/3200/3200/3200/3200/3200/3200/3200/3200/3200 ,parSyadaiNo=0
47,,,parKurumaNo=134827 ,,,,,parHMCount=12 ,parHinmokuNos=1020/1021/1022/1060/1061/1062/1100/1140/1101/1141/1102/1142 ,,,parMakerNos=3200/3200/3200/3200/3200/3200/3200/3200/3200/3200/3200/3200 ,parSyadaiNo=0
48,ParamList=16010/0014// ,,,,KurumaInfo=126787/6/ﾀﾞｲﾊﾂ/34/ﾀﾝﾄ 660 DOHC/16010/0005 0014 0024/DBA-L375S/0712/1010/KFVE/660,,,,,,,,
49,,,parKurumaNo=126188 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
50,,,parKurumaNo=126188 ,,,,,parHMCount=100 ,parHinmokuNos=2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
51,,,parKurumaNo=116440 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
52,,,parKurumaNo=116440 ,,,,,parHMCount=100 ,parHinmokuNos=2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
53,,,parKurumaNo=116439 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
54,,,parKurumaNo=116439 ,,,,,parHMCount=100 ,parHinmokuNos=2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
55,,,parKurumaNo=126188 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
56,,,parKurumaNo=126188 ,,,,,parHMCount=100 ,parHinmokuNos=2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
57,,,parKurumaNo=116440 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
58,,,parKurumaNo=116440 ,,,,,parHMCount=100 ,parHinmokuNos=2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
59,,,parKurumaNo=116439 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
60,,,parKurumaNo=116439 ,,,,,parHMCount=100 ,parHinmokuNos=2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
61,,parHinban=48203-3U025 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
62,,parHinban=48203-3U025 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
63,,parHinban=20651-ED10A ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
64,,parHinban=20651-ED10A ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
65,,parHinban=20695-ED10A ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
66,,parHinban=20695-8H310 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
67,,parHinban=20691-57E01 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
68,,,parKurumaNo=126188 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
69,,,parKurumaNo=126188 ,,,,,parHMCount=100 ,parHinmokuNos=2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
70,,,parKurumaNo=116440 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
71,,,parKurumaNo=116440 ,,,,,parHMCount=100 ,parHinmokuNos=2380/2420/2421/2422/2423/2880/3800/3801/3802/3880/3881/3882/4620/4650/4700/4701/4702/4740/4741/4742/4743/4745/4780/4781/4782/4783/4784/4785/4786/4840/4841/4842/4843/4844/4860/4861/4862/4880/4900/4901/4902/4960/4972/4973/4974/4975/4983/4984/4985/5020/5060/5061/5062/5101/5160/5220/5221/5222/5260/5270/5280/5290/5320/5340/5380/5420/5440/5460/5480/5500/5510/5511/5512/5520/5570/5580/5620/5622/5625/5630/5660/5700/5701/5702/5740/5741/5742/5780/5800/5820/5840/5860/5880/5900/5920/5940/5960/5980/6000/6020 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
72,,,parKurumaNo=116439 ,,,,,parHMCount=10 ,parHinmokuNos=6040/6060/6080/6100/6120/6140/6160/6180/6190/6210 ,,,parMakerNos=2840/2840/2840/2840/2840/2840/2840/2840/2840/2840 ,parSyadaiNo=0
