,ParamList_0,parHinban_0,parKurumaNo_0,parJunsei_0,KurumaInfo_0,CallHinban_0,parType_0,parHMCount_0,parHinmokuNos_0,parMakerNo_0,CallHinban_1,parMakerNos_0,parSyadaiNo_0
0,,parHinban=U40B ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
1,,parHinban=U40B ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
2,,parHinban=MQ513048 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
3,,parHinban=7289378A00 ,,,,CallHinban=7289378A00,,,,,,,
4,,parHinban=J9061M ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
5,,parHinban=MQ506043 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
6,,,parKurumaNo=141488 ,,,,,parHMCount=17 ,parHinmokuNos=1026/1300/1301/1340/1341/1302/1342/1303/6800/6801/6802/6803/6804/6841/6842/6843/6844 ,,,parMakerNos=2260/2260/2260/2260/2260/2260/2260/2260/2380/2380/2380/2380/2380/2380/2380/2380/2380 ,parSyadaiNo=0
7,,,parKurumaNo=141488 ,,,,,parHMCount=100 ,parHinmokuNos=1020/1021/1022/1060/1061/1062/1100/1140/1101/1141/1102/1142/1020/1021/1023/1025/1022/1024/1026/1300/1301/1340/1341/1302/1342/1303/1060/1061/1062/1120/1121/1472/1473/1100/1140/1101/1141/1102/1142/1180/1181/1182/1120/1121/1380/1420/1381/1421/1382/1422/1500/1501/1502/1503/1504/1520/1525/1460/1461/1462/1465/1464/1466/1467/1491/1492/1600/1620/1480/1481/3320/3321/3322/1472/1473/1470/1471/1423/1424/1020/1021/1022/1060/1061/1062/1060/1061/1062/1020/1020/1020/1021/1021/1021/1023/1025/1022/1022/1022/1024 ,,,parMakerNos=3200/3200/3200/3200/3200/3200/3200/3200/3200/3200/3200/3200/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/2260/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4280/4060/4060/4060/4060/4060/4060/1040/1040/1040/3200/2260/4060/3200/2260/4060/2260/2260/3200/2260/4060/2260 ,parSyadaiNo=0
8,,,parKurumaNo=116158 ,,,,,parHMCount=1 ,parHinmokuNos=1680 ,,,parMakerNos=2300 ,parSyadaiNo=0
9,ParamList=12598/0077// ,,,,KurumaInfo=116158/1/ﾄﾖﾀ/26/ﾊｲｴｰｽ 2500 ﾊﾞﾝ ﾛﾝｸﾞ ﾀｰﾎﾞ/12598/0077-0092/KR-KDH205V/0408/0709/2KDFTV/2500,,,,,,,,
10,,,parKurumaNo=147906 ,,,,,parHMCount=8 ,parHinmokuNos=1800/1801/1803/1804/1805/1806/1807/1802 ,,,parMakerNos=4260/4260/4260/4260/4260/4260/4260/4260 ,parSyadaiNo=0
11,ParamList=17714/007// ,,,,KurumaInfo=141488/3/三菱/23/ﾐﾆｷｬﾌﾞ 660 ﾊﾞﾝ/17714/0007/HBD-DS64V/1402/1503/K6A/660,,,,,,,,
12,ParamList=18094/0615// ,,,,KurumaInfo=147906/8/ｽｽﾞｷ/42/ｽﾍﾟｰｼｱ ｶｽﾀﾑZ 660 DOHC/18094/0615/DAA-MK42S/1612/1711/R06A/660,,,,,,,,
13,ParamList=18094/0615// ,,,,KurumaInfo=147906/8/ｽｽﾞｷ/42/ｽﾍﾟｰｼｱ ｶｽﾀﾑZ 660 DOHC/18094/0615/DAA-MK42S/1612/1711/R06A/660,,,,,,,,
14,ParamList=17714/007// ,,,,KurumaInfo=141488/3/三菱/23/ﾐﾆｷｬﾌﾞ 660 ﾊﾞﾝ/17714/0007/HBD-DS64V/1402/1503/K6A/660,,,,,,,,
15,,parHinban=45119-SC000 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
16,,,parKurumaNo=129128 ,,,,,parHMCount=20 ,parHinmokuNos=2942/2943/2946/2947/2948/2949/2958/2965/2966/2967/2968/2969/2970/2971/2972/2973/2974/8130/5160/8160 ,,,parMakerNos=1040/1040/1040/1040/1040/1040/1040/4060/4060/4060/4060/4060/4060/4060/4060/4060/4060/2100/2840/2100 ,parSyadaiNo=0
17,,parHinban=T10 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
18,,parHinban=T16 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
19,,parHinban=T10 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
20,,parHinban=T20W ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
21,,parHinban=T10 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
22,,parHinban=T10X31 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
23,,parHinban=T10X31 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
24,,parHinban=T10 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
25,,parHinban=T20U ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
26,,parHinban=LED ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
27,,parHinban=T20U ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
28,,parHinban=H8 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
29,,parHinban=H4 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
30,,parHinban=T10 ,,parJunsei=0 ,,,,,,parMakerNo=0,,,
