parKurumaNo,parHinban,ParamList,parHMCount,parType,KurumaInfo,parJunsei,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban
,['U40B '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,
,['U40B '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,
,['MQ513048 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,
,['7289378A00 '],"['', '']",,,"['', '']",,,"['', '']","['', '']",,7289378A00
,['J9061M '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,
,['MQ506043 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,
141488 ,"['', '']","['', '']",17 ,,"['', '']",,,"['1026', '1300', '1301', '1340', '1341', '1302', '1342', '1303', '6800', '6801', '6802', '6803', '6804', '6841', '6842', '6843', '6844 ']","['2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2380', '2380', '2380', '2380', '2380', '2380', '2380', '2380', '2380 ']",0,
141488 ,"['', '']","['', '']",100 ,,"['', '']",,,"['1020', '1021', '1022', '1060', '1061', '1062', '1100', '1140', '1101', '1141', '1102', '1142', '1020', '1021', '1023', '1025', '1022', '1024', '1026', '1300', '1301', '1340', '1341', '1302', '1342', '1303', '1060', '1061', '1062', '1120', '1121', '1472', '1473', '1100', '1140', '1101', '1141', '1102', '1142', '1180', '1181', '1182', '1120', '1121', '1380', '1420', '1381', '1421', '1382', '1422', '1500', '1501', '1502', '1503', '1504', '1520', '1525', '1460', '1461', '1462', '1465', '1464', '1466', '1467', '1491', '1492', '1600', '1620', '1480', '1481', '3320', '3321', '3322', '1472', '1473', '1470', '1471', '1423', '1424', '1020', '1021', '1022', '1060', '1061', '1062', '1060', '1061', '1062', '1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024 ']","['3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4060', '4060', '4060', '4060', '4060', '4060', '1040', '1040', '1040', '3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260 ']",0,
116158 ,"['', '']","['', '']",1 ,,"['', '']",,,['1680 '],['2300 '],0,
,"['', '']","['12598', '0077', '', ' ']",,,"['116158', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 2500 ﾊﾞﾝ ﾛﾝｸﾞ ﾀｰﾎﾞ', '12598', '0077-0092', 'KR-KDH205V', '0408', '0709', '2KDFTV', '2500']",,,"['', '']","['', '']",,
147906 ,"['', '']","['', '']",8 ,,"['', '']",,,"['1800', '1801', '1803', '1804', '1805', '1806', '1807', '1802 ']","['4260', '4260', '4260', '4260', '4260', '4260', '4260', '4260 ']",0,
,"['', '']","['17714', '007', '', ' ']",,,"['141488', '3', '三菱', '23', 'ﾐﾆｷｬﾌﾞ 660 ﾊﾞﾝ', '17714', '0007', 'HBD-DS64V', '1402', '1503', 'K6A', '660']",,,"['', '']","['', '']",,
,"['', '']","['18094', '0615', '', ' ']",,,"['147906', '8', 'ｽｽﾞｷ', '42', 'ｽﾍﾟｰｼｱ ｶｽﾀﾑZ 660 DOHC', '18094', '0615', 'DAA-MK42S', '1612', '1711', 'R06A', '660']",,,"['', '']","['', '']",,
,"['', '']","['18094', '0615', '', ' ']",,,"['147906', '8', 'ｽｽﾞｷ', '42', 'ｽﾍﾟｰｼｱ ｶｽﾀﾑZ 660 DOHC', '18094', '0615', 'DAA-MK42S', '1612', '1711', 'R06A', '660']",,,"['', '']","['', '']",,
,"['', '']","['17714', '007', '', ' ']",,,"['141488', '3', '三菱', '23', 'ﾐﾆｷｬﾌﾞ 660 ﾊﾞﾝ', '17714', '0007', 'HBD-DS64V', '1402', '1503', 'K6A', '660']",,,"['', '']","['', '']",,
,['45119-SC000 '],"['', '']",,,"['', '']",0 ,0,"['', '']","['', '']",,
