,parKurumaNo,parHinban,ParamList,KurumaInfo,parType,parHMCount,parJunsei,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban
57,116440 ,"['', '']","['', '']","['', '']",,10 ,,,"['6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
58,116440 ,"['', '']","['', '']","['', '']",,100 ,,,"['2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270', '5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
59,116439 ,"['', '']","['', '']","['', '']",,10 ,,,"['6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
60,116439 ,"['', '']","['', '']","['', '']",,100 ,,,"['2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270', '5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
61,,['48203-3U025 '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
62,,['48203-3U025 '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
63,,['20651-ED10A '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
64,,['20651-ED10A '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
65,,['20695-ED10A '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
66,,['20695-8H310 '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
67,,['20691-57E01 '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
68,126188 ,"['', '']","['', '']","['', '']",,10 ,,,"['6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
69,126188 ,"['', '']","['', '']","['', '']",,100 ,,,"['2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270', '5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
70,116440 ,"['', '']","['', '']","['', '']",,10 ,,,"['6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
71,116440 ,"['', '']","['', '']","['', '']",,100 ,,,"['2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270', '5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
72,116439 ,"['', '']","['', '']","['', '']",,10 ,,,"['6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
73,116439 ,"['', '']","['', '']","['', '']",,100 ,,,"['2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270', '5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
74,143744 ,"['', '']","['', '']","['', '']",,12 ,,,"['1020', '1021', '1022', '1060', '1061', '1062', '1100', '1140', '1101', '1141', '1102', '1142 ']","['3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200 ']",0,
75,134827 ,"['', '']","['', '']","['', '']",,12 ,,,"['1020', '1021', '1022', '1060', '1061', '1062', '1100', '1140', '1101', '1141', '1102', '1142 ']","['3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200 ']",0,
76,,"['', '']","['16010', '0014', '', ' ']","['126787', '6', 'ﾀﾞｲﾊﾂ', '34', 'ﾀﾝﾄ 660 DOHC', '16010', '0005 0014 0024', 'DBA-L375S', '0712', '1010', 'KFVE', '660']",,,,,"['', '']","['', '']",,
77,136799 ,"['', '']","['', '']","['', '']",,13 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026 ']","['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260 ']",0,
78,136798 ,"['', '']","['', '']","['', '']",,13 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026 ']","['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260 ']",0,
79,126188 ,"['', '']","['', '']","['', '']",,10 ,,,"['6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
80,126188 ,"['', '']","['', '']","['', '']",,100 ,,,"['2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270', '5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
81,116440 ,"['', '']","['', '']","['', '']",,10 ,,,"['6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
82,116440 ,"['', '']","['', '']","['', '']",,100 ,,,"['2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270', '5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
83,116439 ,"['', '']","['', '']","['', '']",,10 ,,,"['6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
84,116439 ,"['', '']","['', '']","['', '']",,100 ,,,"['2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270', '5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
85,,"['', '']","['16294', '0036', '', ' ']","['136798', '1', 'ﾄﾖﾀ', '75', 'ﾌﾟﾘｳｽ 1800 ﾊｲﾌﾞﾘｯﾄ DOHC', '16294', '0031-0035 0036 0037-0049 0050-0054', 'DAA-ZVW30', '1112', '1511', '2ZRFXE', '1800']",,,,,"['', '']","['', '']",,
86,,['14182-60B00 '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
87,126782 ,"['', '']","['', '']","['', '']",,28 ,,,"['5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020', '6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
