月日,時刻,子ユーザ,入力値,parKurumaNo,ParamList,parHinban,parJunsei,parHMCount,KurumaInfo,parType,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban,date
2021-11-09,15:02:45,61371904,12615-0005,,"['12615', '0005', '', ' ']","['', '']",,,"['116055', '2', '日産', '91', 'ﾑﾗｰﾉ 3500 DOHC', '12615', '0001 0002 0004-0006 0008', 'CBA-PZ50', '0409', '0809', 'VQ35DE', '3500']",,,"['', '']","['', '']",,,2021-11-09 15:02:45
2021-11-09,15:03:01,61371904,,116055 ,"['', '']","['', '']",,42 ,"['', '']",,,"['3360', '3360', '3360', '3361', '3361', '3361', '3362', '3362', '3362', '3363', '3363', '3363', '3364', '3364', '3364', '3365', '3365', '3365', '3366', '3366', '3366', '3380', '3380', '3380', '3381', '3381', '3381', '3382', '3382', '3382', '3383', '3383', '3383', '3384', '3384', '3384', '3385', '3385', '3385', '3386', '3386', '3386 ']","['2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340', '2800', '2820', '4340 ']",0,,2021-11-09 15:03:01
2021-11-09,15:05:46,610AK301,09190-0174,,"['09190', '0174', '', ' ']","['', '']",,,"['86246', '8', 'ｽｽﾞｷ', '7', 'ｱﾙﾄ ﾜｰｸｽ 660 DOHC ﾀｰﾎﾞ', '9190', '0174', 'GF-HA22S', '9810', '9910', 'K6AT', '660']",,,"['', '']","['', '']",,,2021-11-09 15:05:46
2021-11-09,15:05:58,610AK301,S25U,,"['', '']",['S25U '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:05:58
2021-11-09,15:06:06,610AK301,H3A,,"['', '']",['H3A '],,,"['', '']",,,"['', '']","['', '']",,H3A,2021-11-09 15:06:06
2021-11-09,15:06:31,610AK301,T10,,"['', '']",['T10 '],,,"['', '']",,,"['', '']","['', '']",,T10,2021-11-09 15:06:31
2021-11-09,15:07:03,193015,WK503,,"['', '']",['WK503 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:07:03
2021-11-09,15:15:13,193015,RN101,,"['', '']",['RN101 '],,,"['', '']", ,,"['', '']","['', '']",,RN101,2021-11-09 15:15:13
2021-11-09,15:15:14,193015,RN101,,"['', '']",['RN101 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:15:14
2021-11-09,15:09:49,61989002,A27,,"['', '']",['A27 '],,,"['', '']",,,"['', '']","['', '']",,A27,2021-11-09 15:09:49
2021-11-09,15:11:49,61989002,A27,,"['', '']",['A27 '],,,"['', '']",,,"['', '']","['', '']",,A27,2021-11-09 15:11:49
2021-11-09,15:11:49,61989002,A27,,"['', '']",['A27 '],,,"['', '']",,,"['', '']","['', '']",,A27,2021-11-09 15:11:49
2021-11-09,15:35:16,61989002,16606-0094,,"['16606', '0094', '', ' ']","['', '']",,,"['133840', '1', 'ﾄﾖﾀ', '26', 'ﾊｲｴｰｽ 3000 ﾊﾞﾝ ﾛﾝｸﾞ ﾀｰﾎﾞ', '16606', '0049-0064 0089-0096', 'LDF-KDH206K', '1007', '1711', '1KDFTV', '3000']",,,"['', '']","['', '']",,,2021-11-09 15:35:16
2021-11-09,15:35:43,61989002,4806826170,,"['', '']",['48068-26170 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:35:43
2021-11-09,15:36:18,61989002,4806826170,,"['', '']",['48068-26170 '],0 ,,"['', '']",,0,"['', '']","['', '']",,,2021-11-09 15:36:18
2021-11-09,15:12:07,613R1701,MD325440,,"['', '']",['MD325440 '],,,"['', '']",,,"['', '']","['', '']",,MD325440,2021-11-09 15:12:07
2021-11-09,15:13:09,417002,VTW550,,"['', '']",['VTW550 '],,,"['', '']",,,"['', '']","['', '']",,VTW550,2021-11-09 15:13:09
2021-11-09,15:14:57,61380401,TRH413,,"['', '']",['TRH413 '],,,"['', '']",,,"['', '']","['', '']",,TRH413,2021-11-09 15:14:57
2021-11-09,15:17:25,61535311,SB6612,,"['', '']",['SB6612 '],,,"['', '']",,,"['', '']","['', '']",,SB6612,2021-11-09 15:17:25
2021-11-09,15:17:39,617Z6807,1K0418300A,,"['', '']",['1K0418300A '],,,"['', '']",,,"['', '']","['', '']",,1K0418300A,2021-11-09 15:17:39
2021-11-09,15:18:05,Demo0741,11672-0020,,"['11672', '0020', '', ' ']","['', '']",,,"['106060', '6', 'ﾀﾞｲﾊﾂ', '15', 'ﾑｰﾌﾞ ｶｽﾀﾑ 660 DOHC', '11672', '0020', 'UA-L150S', '0210', '0309', 'EFVE', '660']",,,"['', '']","['', '']",,,2021-11-09 15:18:05
2021-11-09,15:18:35,Demo0741,,106060 ,"['', '']","['', '']",,88 ,"['', '']",,,"['1020', '1021', '1022', '1060', '1061', '1062', '1100', '1140', '1101', '1141', '1102', '1142', '1020', '1021', '1023', '1025', '1022', '1024', '1026', '1300', '1301', '1340', '1341', '1302', '1342', '1303', '1060', '1061', '1062', '1120', '1121', '1472', '1473', '1100', '1140', '1101', '1141', '1102', '1142', '1180', '1181', '1182', '1120', '1121', '1380', '1420', '1381', '1421', '1382', '1422', '1500', '1501', '1502', '1503', '1504', '1520', '1525', '1460', '1461', '1462', '1465', '1464', '1466', '1467', '1491', '1492', '1600', '1620', '1480', '1481', '3320', '3321', '3322', '1472', '1473', '1470', '1471', '1423', '1424', '1020', '1021', '1022', '1060', '1061', '1062', '1060', '1061', '1062 ']","['3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '3200', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '2260', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4280', '4060', '4060', '4060', '4060', '4060', '4060', '1040', '1040', '1040 ']",0,,2021-11-09 15:18:35
