子ユーザ,月日,時刻,入力値,parHinban,parKurumaNo,ParamList,KurumaInfo,parHMCount,parType,parJunsei,parHinmokuNos,parMakerNo,parMakerNos,parSyadaiNo,CallHinban,date
221002,2021-11-09,15:02:12,,,138113 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,140451 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,141793 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,141797 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,143093 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,138112 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,147190 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,147195 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,147196 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:12,,,143096 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:12
221002,2021-11-09,15:02:13,,,145534 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,142310 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,142308 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,142307 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,143108 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,143105 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,141783 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,141777 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,141775 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,145535 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,138114 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,143107 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
221002,2021-11-09,15:02:13,,,143106 ,"['', '']","['', '']",23 ,,,"['1020', '1020', '1020', '1021', '1021', '1021', '1023', '1025', '1022', '1022', '1022', '1024', '1026', '1680', '2120', '2121', '2122', '2123', '2125', '2124', '2140', '2141', '2142 ']",,"['3200', '2260', '4060', '3200', '2260', '4060', '2260', '2260', '3200', '2260', '4060', '2260', '2260', '2300', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280', '2280 ']",0,,2021-11-09 15:02:13
